language,variant,size,block_size,seconds,gflops
cpp,block,4096,128,21.858960,6.287536
cpp,block,4096,256,20.623101,6.664356
cpp,block,4096,512,21.438752,6.411065
cpp,block,6144,128,75.550500,6.139712
cpp,block,6144,256,75.172048,6.170616
cpp,block,6144,512,72.865087,6.365964
cpp,block,8192,128,213.111204,5.159367
cpp,block,8192,256,194.354958,5.657658
cpp,block,8192,512,236.163290,4.657134
cpp,block,10240,128,343.362576,6.254359
cpp,block,10240,256,368.908012,5.822715
cpp,block,10240,512,348.906563,6.155731
cpp,line,1024,0,0.359900,5.966905
cpp,line,1536,0,1.097632,6.603774
cpp,line,2048,0,3.576453,4.803617
cpp,line,2560,0,7.766329,4.321083
cpp,line,3072,0,13.888232,4.175339
cpp,line,4096,0,35.287883,3.895317
cpp,line,6144,0,115.396228,4.019910
cpp,line,8192,0,274.654017,4.003389
cpp,line,10240,0,534.891224,4.014867
cpp,standard,1024,0,2.919691,0.735531
cpp,standard,1536,0,8.955536,0.809331
cpp,standard,2048,0,25.228985,0.681046
cpp,standard,2560,0,59.408540,0.564822
cpp,standard,3072,0,120.051817,0.483594
java,line,1024,0,0.440879,4.871973
java,line,1536,0,1.662218,4.362461
java,line,2048,0,4.577648,3.754304
java,line,2560,0,8.628102,3.889241
java,line,3072,0,15.416674,3.761000
java,standard,1024,0,2.502460,0.858361
java,standard,1536,0,9.476882,0.764798
java,standard,2048,0,25.747605,0.667370
java,standard,2560,0,82.302980,0.407808
java,standard,3072,0,144.617613,0.425500
