language,variant,size,block_size,run,event,value,unit,time_enabled_ns,percent_running
cpp,block,4096,128,1,cpu_atom/cache-misses/,174241350,,364707,0.00
cpp,block,4096,128,1,cpu_atom/cache-references/,767564745,,364707,0.00
cpp,block,4096,128,1,cpu_atom/cycles/,79925620732,,364707,0.00
cpp,block,4096,128,1,cpu_atom/instructions/,83303495443,,364707,0.00
cpp,block,4096,128,1,cpu_core/cache-misses/,55231133,,21950253620,99.00
cpp,block,4096,128,1,cpu_core/cache-references/,334532642,,21950253620,99.00
cpp,block,4096,128,1,cpu_core/cycles/,109457623271,,21950253620,99.00
cpp,block,4096,128,1,cpu_core/instructions/,488440658193,,21950253620,99.00
cpp,block,4096,128,2,cpu_atom/cache-misses/,150921068,,352301,0.00
cpp,block,4096,128,2,cpu_atom/cache-references/,1059003347,,352301,0.00
cpp,block,4096,128,2,cpu_atom/cycles/,79912923746,,352301,0.00
cpp,block,4096,128,2,cpu_atom/instructions/,87148719342,,352301,0.00
cpp,block,4096,128,2,cpu_core/cache-misses/,55527136,,21961499502,99.00
cpp,block,4096,128,2,cpu_core/cache-references/,369839127,,21961499502,99.00
cpp,block,4096,128,2,cpu_core/cycles/,109527650111,,21961499502,99.00
cpp,block,4096,128,2,cpu_core/instructions/,488437271891,,21961499502,99.00
cpp,block,4096,128,3,cpu_atom/cache-misses/,178592428,,384049,0.00
cpp,block,4096,128,3,cpu_atom/cache-references/,1058152946,,384049,0.00
cpp,block,4096,128,3,cpu_atom/cycles/,80533221385,,384049,0.00
cpp,block,4096,128,3,cpu_atom/instructions/,80626572596,,384049,0.00
cpp,block,4096,128,3,cpu_core/cache-misses/,60109589,,22089227356,99.00
cpp,block,4096,128,3,cpu_core/cache-references/,389551453,,22089227356,99.00
cpp,block,4096,128,3,cpu_core/cycles/,109770801300,,22089227356,99.00
cpp,block,4096,128,3,cpu_core/instructions/,488454395319,,22089227356,99.00
cpp,block,4096,256,1,cpu_atom/cache-misses/,212034612,,356664,0.00
cpp,block,4096,256,1,cpu_atom/cache-references/,1007030663,,356664,0.00
cpp,block,4096,256,1,cpu_atom/cycles/,77207526954,,356664,0.00
cpp,block,4096,256,1,cpu_atom/instructions/,82325068826,,356664,0.00
cpp,block,4096,256,1,cpu_core/cache-misses/,64178064,,21200964663,99.00
cpp,block,4096,256,1,cpu_core/cache-references/,2940094415,,21200964663,99.00
cpp,block,4096,256,1,cpu_core/cycles/,105061548507,,21200964663,99.00
cpp,block,4096,256,1,cpu_core/instructions/,485183890396,,21200964663,99.00
cpp,block,4096,256,2,cpu_atom/cache-misses/,190797488,,329734,0.00
cpp,block,4096,256,2,cpu_atom/cache-references/,654753382,,329734,0.00
cpp,block,4096,256,2,cpu_atom/cycles/,76277783321,,329734,0.00
cpp,block,4096,256,2,cpu_atom/instructions/,87462904516,,329734,0.00
cpp,block,4096,256,2,cpu_core/cache-misses/,51830875,,20970476673,99.00
cpp,block,4096,256,2,cpu_core/cache-references/,2935212709,,20970476673,99.00
cpp,block,4096,256,2,cpu_core/cycles/,104558882404,,20970476673,99.00
cpp,block,4096,256,2,cpu_core/instructions/,485163035178,,20970476673,99.00
cpp,block,4096,256,3,cpu_atom/cache-misses/,189831444,,219504,0.00
cpp,block,4096,256,3,cpu_atom/cache-references/,766505482,,219504,0.00
cpp,block,4096,256,3,cpu_atom/cycles/,75722642988,,219504,0.00
cpp,block,4096,256,3,cpu_atom/instructions/,89187752042,,219504,0.00
cpp,block,4096,256,3,cpu_core/cache-misses/,52737453,,21012771565,99.00
cpp,block,4096,256,3,cpu_core/cache-references/,3080783896,,21012771565,99.00
cpp,block,4096,256,3,cpu_core/cycles/,104679164561,,21012771565,99.00
cpp,block,4096,256,3,cpu_core/instructions/,485163849694,,21012771565,99.00
cpp,block,4096,512,1,cpu_atom/cache-misses/,120556880,,370581,0.00
cpp,block,4096,512,1,cpu_atom/cache-references/,1055046915,,370581,0.00
cpp,block,4096,512,1,cpu_atom/cycles/,78449021556,,370581,0.00
cpp,block,4096,512,1,cpu_atom/instructions/,81038265107,,370581,0.00
cpp,block,4096,512,1,cpu_core/cache-misses/,55697672,,21519903590,99.00
cpp,block,4096,512,1,cpu_core/cache-references/,9772720759,,21519903590,99.00
cpp,block,4096,512,1,cpu_core/cycles/,107195448789,,21519903590,99.00
cpp,block,4096,512,1,cpu_core/instructions/,483550610476,,21519903590,99.00
cpp,block,4096,512,2,cpu_atom/cache-misses/,163633617,,327841,0.00
cpp,block,4096,512,2,cpu_atom/cache-references/,424830663,,327841,0.00
cpp,block,4096,512,2,cpu_atom/cycles/,78132493629,,327841,0.00
cpp,block,4096,512,2,cpu_atom/instructions/,90480598730,,327841,0.00
cpp,block,4096,512,2,cpu_core/cache-misses/,55528930,,21509619578,99.00
cpp,block,4096,512,2,cpu_core/cache-references/,9824483166,,21509619578,99.00
cpp,block,4096,512,2,cpu_core/cycles/,107195056564,,21509619578,99.00
cpp,block,4096,512,2,cpu_core/instructions/,483548662783,,21509619578,99.00
cpp,block,4096,512,3,cpu_atom/cache-misses/,299355532,,377978,0.00
cpp,block,4096,512,3,cpu_atom/cache-references/,734750701,,377978,0.00
cpp,block,4096,512,3,cpu_atom/cycles/,78456204950,,377978,0.00
cpp,block,4096,512,3,cpu_atom/instructions/,79110550475,,377978,0.00
cpp,block,4096,512,3,cpu_core/cache-misses/,56856293,,21523267725,99.00
cpp,block,4096,512,3,cpu_core/cache-references/,9898792930,,21523267725,99.00
cpp,block,4096,512,3,cpu_core/cycles/,107207277910,,21523267725,99.00
cpp,block,4096,512,3,cpu_core/instructions/,483549916157,,21523267725,99.00
cpp,block,6144,128,1,cpu_atom/cache-misses/,980979351,,367951,0.00
cpp,block,6144,128,1,cpu_atom/cache-references/,2703563299,,367951,0.00
cpp,block,6144,128,1,cpu_atom/cycles/,277851959729,,367951,0.00
