language,variant,size,block_size,event,avg_value,unit,avg_time_enabled_ns,avg_time_enabled_seconds,avg_percent_running
cpp,block,4096,128,cpu_atom/cache-misses/,167918282.000000,,367019.000000,0.000367,0.000000
cpp,block,4096,128,cpu_atom/cache-references/,961573679.333333,,367019.000000,0.000367,0.000000
cpp,block,4096,128,cpu_atom/cycles/,80123921954.333328,,367019.000000,0.000367,0.000000
cpp,block,4096,128,cpu_atom/instructions/,83692929127.000000,,367019.000000,0.000367,0.000000
cpp,block,4096,128,cpu_core/cache-misses/,56955952.666667,,22000326826.000000,22.000327,99.000000
cpp,block,4096,128,cpu_core/cache-references/,364641074.000000,,22000326826.000000,22.000327,99.000000
cpp,block,4096,128,cpu_core/cycles/,109585358227.333328,,22000326826.000000,22.000327,99.000000
cpp,block,4096,128,cpu_core/instructions/,488444108467.666687,,22000326826.000000,22.000327,99.000000
cpp,block,4096,256,cpu_atom/cache-misses/,197554514.666667,,301967.333333,0.000302,0.000000
cpp,block,4096,256,cpu_atom/cache-references/,809429842.333333,,301967.333333,0.000302,0.000000
cpp,block,4096,256,cpu_atom/cycles/,76402651087.666672,,301967.333333,0.000302,0.000000
cpp,block,4096,256,cpu_atom/instructions/,86325241794.666672,,301967.333333,0.000302,0.000000
cpp,block,4096,256,cpu_core/cache-misses/,56248797.333333,,21061404300.333332,21.061404,99.000000
cpp,block,4096,256,cpu_core/cache-references/,2985363673.333333,,21061404300.333332,21.061404,99.000000
cpp,block,4096,256,cpu_core/cycles/,104766531824.000000,,21061404300.333332,21.061404,99.000000
cpp,block,4096,256,cpu_core/instructions/,485170258422.666687,,21061404300.333332,21.061404,99.000000
cpp,block,4096,512,cpu_atom/cache-misses/,194515343.000000,,358800.000000,0.000359,0.000000
cpp,block,4096,512,cpu_atom/cache-references/,738209426.333333,,358800.000000,0.000359,0.000000
cpp,block,4096,512,cpu_atom/cycles/,78345906711.666672,,358800.000000,0.000359,0.000000
cpp,block,4096,512,cpu_atom/instructions/,83543138104.000000,,358800.000000,0.000359,0.000000
cpp,block,4096,512,cpu_core/cache-misses/,56027631.666667,,21517596964.333332,21.517597,99.000000
cpp,block,4096,512,cpu_core/cache-references/,9831998951.666666,,21517596964.333332,21.517597,99.000000
cpp,block,4096,512,cpu_core/cycles/,107199261087.666672,,21517596964.333332,21.517597,99.000000
cpp,block,4096,512,cpu_core/instructions/,483549729805.333313,,21517596964.333332,21.517597,99.000000
cpp,block,6144,128,cpu_atom/cache-misses/,780635864.333333,,368752.333333,0.000369,0.000000
cpp,block,6144,128,cpu_atom/cache-references/,3328274046.666667,,368752.333333,0.000369,0.000000
cpp,block,6144,128,cpu_atom/cycles/,278929663679.333313,,368752.333333,0.000369,0.000000
cpp,block,6144,128,cpu_atom/instructions/,288901807624.666687,,368752.333333,0.000369,0.000000
cpp,block,6144,128,cpu_core/cache-misses/,247013131.666667,,76621309262.666672,76.621309,99.000000
cpp,block,6144,128,cpu_core/cache-references/,15036208553.666666,,76621309262.666672,76.621309,99.000000
cpp,block,6144,128,cpu_core/cycles/,381055284368.333313,,76621309262.666672,76.621309,99.000000
cpp,block,6144,128,cpu_core/instructions/,1647772709800.666748,,76621309262.666672,76.621309,99.000000
cpp,block,6144,256,cpu_atom/cache-misses/,561143621.500000,,368414.000000,0.000368,0.000000
cpp,block,6144,256,cpu_atom/cache-references/,3731724077.500000,,368414.000000,0.000368,0.000000
cpp,block,6144,256,cpu_atom/cycles/,277532992687.500000,,368414.000000,0.000368,0.000000
cpp,block,6144,256,cpu_atom/instructions/,284425788778.000000,,368414.000000,0.000368,0.000000
cpp,block,6144,256,cpu_core/cache-misses/,201719428.666667,,76274287741.333328,76.274288,99.333333
cpp,block,6144,256,cpu_core/cache-references/,42508590346.333336,,76274287741.333328,76.274288,99.333333
cpp,block,6144,256,cpu_core/cycles/,380195676238.000000,,76274287741.333328,76.274288,99.333333
cpp,block,6144,256,cpu_core/instructions/,1636681448377.666748,,76274287741.333328,76.274288,99.333333
cpp,block,6144,512,cpu_atom/cache-misses/,562049432.000000,,370596.000000,0.000371,0.000000
cpp,block,6144,512,cpu_atom/cache-references/,3327068510.500000,,370596.000000,0.000371,0.000000
cpp,block,6144,512,cpu_atom/cycles/,266316382140.000000,,370596.000000,0.000371,0.000000
cpp,block,6144,512,cpu_atom/instructions/,272717264595.000000,,370596.000000,0.000371,0.000000
cpp,block,6144,512,cpu_core/cache-misses/,182607808.666667,,73275048079.000000,73.275048,99.333333
cpp,block,6144,512,cpu_core/cache-references/,37386788515.666664,,73275048079.000000,73.275048,99.333333
cpp,block,6144,512,cpu_core/cycles/,365485100622.333313,,73275048079.000000,73.275048,99.333333
cpp,block,6144,512,cpu_core/instructions/,1631175796020.333252,,73275048079.000000,73.275048,99.333333
cpp,block,8192,128,cpu_atom/cache-misses/,1982442562.666667,,393432.000000,0.000393,0.000000
cpp,block,8192,128,cpu_atom/cache-references/,7283349797.333333,,393432.000000,0.000393,0.000000
cpp,block,8192,128,cpu_atom/cycles/,775514056097.666626,,393432.000000,0.000393,0.000000
cpp,block,8192,128,cpu_atom/instructions/,753045401625.333374,,393432.000000,0.000393,0.000000
cpp,block,8192,128,cpu_core/cache-misses/,897985059.333333,,212797987345.333344,212.797987,99.000000
cpp,block,8192,128,cpu_core/cache-references/,178553482664.333344,,212797987345.333344,212.797987,99.000000
cpp,block,8192,128,cpu_core/cycles/,1060762808756.666626,,212797987345.333344,212.797987,99.000000
cpp,block,8192,128,cpu_core/instructions/,3905198111277.666504,,212797987345.333344,212.797987,99.000000
cpp,block,8192,256,cpu_atom/cache-misses/,1033813148.666667,,365449.000000,0.000365,0.000000
cpp,block,8192,256,cpu_atom/cache-references/,4235556707.000000,,365449.000000,0.000365,0.000000
cpp,block,8192,256,cpu_atom/cycles/,489099684580.666687,,365449.000000,0.000365,0.000000
cpp,block,8192,256,cpu_atom/instructions/,537142877571.000000,,365449.000000,0.000365,0.000000
cpp,block,8192,256,cpu_core/cache-misses/,1651992275.666667,,134785476628.666672,134.785477,99.000000
cpp,block,8192,256,cpu_core/cache-references/,87592914494.666672,,134785476628.666672,134.785477,99.000000
cpp,block,8192,256,cpu_core/cycles/,649487552636.000000,,134785476628.666672,134.785477,99.000000
cpp,block,8192,256,cpu_core/instructions/,2648203991602.000000,,134785476628.666672,134.785477,99.000000
cpp,block,8192,512,cpu_core/cache-misses/,996584172.000000,,236163290000.000000,236.163290,99.000000
cpp,block,8192,512,cpu_core/cache-references/,198158725244.333344,,236163290000.000000,236.163290,99.000000
cpp,block,8192,512,cpu_core/cycles/,1177234982110.333252,,236163290000.000000,236.163290,99.000000
cpp,block,8192,512,cpu_core/instructions/,3894682724045.000000,,236163290000.000000,236.163290,99.000000
cpp,block,10240,128,cpu_atom/cache-misses/,3366390177.000000,,360129.000000,0.000360,0.000000
cpp,block,10240,128,cpu_atom/cache-references/,15456374675.666666,,360129.000000,0.000360,0.000000
cpp,block,10240,128,cpu_atom/cycles/,1251517827039.666748,,360129.000000,0.000360,0.000000
cpp,block,10240,128,cpu_atom/instructions/,1292169801000.666748,,360129.000000,0.000360,0.000000
cpp,block,10240,128,cpu_core/cache-misses/,1054686727.000000,,343632946684.000000,343.632947,99.000000
cpp,block,10240,128,cpu_core/cache-references/,16973300307.666666,,343632946684.000000,343.632947,99.000000
cpp,block,10240,128,cpu_core/cycles/,1711749498534.666748,,343632946684.000000,343.632947,99.000000
cpp,block,10240,128,cpu_core/instructions/,7625466293356.333008,,343632946684.000000,343.632947,99.000000
cpp,block,10240,256,cpu_atom/cache-misses/,2909243283.666667,,378938.666667,0.000379,0.000000
cpp,block,10240,256,cpu_atom/cache-references/,14719733766.333334,,378938.666667,0.000379,0.000000
cpp,block,10240,256,cpu_atom/cycles/,1291101565812.333252,,378938.666667,0.000379,0.000000
cpp,block,10240,256,cpu_atom/instructions/,1385583997578.666748,,378938.666667,0.000379,0.000000
