language,variant,size,block_size,run,seconds,gflops
cpp,block,4096,128,1,21.861251,6.286875
cpp,block,4096,128,2,21.872792,6.283558
cpp,block,4096,128,3,21.842838,6.292175
cpp,block,4096,256,1,20.601936,6.671167
cpp,block,4096,256,2,20.577969,6.678937
cpp,block,4096,256,3,20.689398,6.642965
cpp,block,4096,512,1,21.303968,6.451331
cpp,block,4096,512,2,21.371945,6.430812
cpp,block,4096,512,3,21.640344,6.351052
cpp,block,6144,128,1,75.343496,6.156556
cpp,block,6144,128,2,75.699527,6.127601
cpp,block,6144,128,3,75.608476,6.134980
cpp,block,6144,256,1,75.312737,6.159071
cpp,block,6144,256,2,75.203181,6.168043
cpp,block,6144,256,3,75.000226,6.184734
cpp,block,6144,512,1,72.884809,6.364241
cpp,block,6144,512,2,72.847551,6.367496
cpp,block,6144,512,3,72.862901,6.366154
cpp,block,8192,128,1,213.881483,5.140752
cpp,block,8192,128,2,212.680447,5.169782
cpp,block,8192,128,3,212.771681,5.167566
cpp,block,8192,256,1,196.589153,5.592941
cpp,block,8192,256,2,192.520268,5.711147
cpp,block,8192,256,3,193.955453,5.668887
cpp,block,8192,512,1,230.439960,4.771358
cpp,block,8192,512,2,239.679740,4.587420
cpp,block,8192,512,3,238.370170,4.612623
cpp,block,10240,128,1,341.899209,6.281043
cpp,block,10240,128,2,343.208942,6.257074
cpp,block,10240,128,3,344.979576,6.224959
cpp,block,10240,256,1,361.519678,5.940157
cpp,block,10240,256,2,369.069563,5.818642
cpp,block,10240,256,3,376.134796,5.709346
cpp,block,10240,512,1,344.079756,6.241238
cpp,block,10240,512,2,348.612391,6.160090
cpp,block,10240,512,3,354.027541,6.065866
cpp,line,1024,0,1,0.360268,5.960794
cpp,line,1024,0,2,0.360155,5.962669
cpp,line,1024,0,3,0.359276,5.977253
cpp,line,1536,0,1,1.084572,6.682598
cpp,line,1536,0,2,1.096395,6.610535
cpp,line,1536,0,3,1.111928,6.518190
cpp,line,2048,0,1,3.576528,4.803505
cpp,line,2048,0,2,3.583258,4.794483
cpp,line,2048,0,3,3.569574,4.812863
cpp,line,2560,0,1,7.686225,4.365528
cpp,line,2560,0,2,7.892710,4.251320
cpp,line,2560,0,3,7.720051,4.346400
cpp,line,3072,0,1,13.697989,4.232888
cpp,line,3072,0,2,14.036259,4.130877
cpp,line,3072,0,3,13.930449,4.162253
cpp,line,4096,0,1,35.152756,3.909763
cpp,line,4096,0,2,34.865989,3.941920
cpp,line,4096,0,3,35.844904,3.834268
cpp,line,6144,0,1,116.621561,3.977450
cpp,line,6144,0,2,114.820724,4.039832
cpp,line,6144,0,3,114.746399,4.042449
cpp,line,8192,0,1,273.744725,4.016558
cpp,line,8192,0,2,276.846562,3.971556
cpp,line,8192,0,3,273.370764,4.022053
cpp,line,10240,0,1,532.623637,4.031897
cpp,line,10240,0,2,534.355878,4.018827
cpp,line,10240,0,3,537.694158,3.993876
cpp,standard,1024,0,1,2.935505,0.731555
cpp,standard,1024,0,2,2.918281,0.735873
cpp,standard,1024,0,3,2.905287,0.739164
cpp,standard,1536,0,1,9.027948,0.802813
cpp,standard,1536,0,2,8.922607,0.812291
cpp,standard,1536,0,3,8.916054,0.812888
cpp,standard,2048,0,1,25.513745,0.673357
cpp,standard,2048,0,2,24.836032,0.691732
cpp,standard,2048,0,3,25.337179,0.678050
cpp,standard,2560,0,1,59.479386,0.564135
cpp,standard,2560,0,2,59.728541,0.561782
cpp,standard,2560,0,3,59.017694,0.568549
cpp,standard,3072,0,1,116.202327,0.498975
cpp,standard,3072,0,2,126.123061,0.459726
cpp,standard,3072,0,3,117.830064,0.492082
java,line,1024,0,1,0.432699,4.963002
java,line,1024,0,2,0.441416,4.864994
java,line,1024,0,3,0.448521,4.787923
java,line,1536,0,1,1.618808,4.477217
java,line,1536,0,2,1.658364,4.370427
java,line,1536,0,3,1.709482,4.239738
java,line,2048,0,1,4.465032,3.847648
java,line,2048,0,2,4.596282,3.737775
java,line,2048,0,3,4.671631,3.677489
java,line,2560,0,1,8.706427,3.853984
java,line,2560,0,2,8.645009,3.881365
java,line,2560,0,3,8.532870,3.932374
java,line,3072,0,1,15.396731,3.765868
java,line,3072,0,2,15.423969,3.759218
java,line,3072,0,3,15.429322,3.757914
java,standard,1024,0,1,2.483317,0.864764
java,standard,1024,0,2,2.557559,0.839661
java,standard,1024,0,3,2.466503,0.870659
java,standard,1536,0,1,9.522184,0.761144
java,standard,1536,0,2,9.421397,0.769287
java,standard,1536,0,3,9.487064,0.763962
java,standard,2048,0,1,25.903746,0.663219
java,standard,2048,0,2,25.254674,0.680265
java,standard,2048,0,3,26.084395,0.658626
java,standard,2560,0,1,84.133871,0.398822
java,standard,2560,0,2,81.980291,0.409299
java,standard,2560,0,3,80.794779,0.415304
java,standard,3072,0,1,198.107337,0.292680
java,standard,3072,0,2,118.299707,0.490129
java,standard,3072,0,3,117.445794,0.493692
