variant,size,threads,run,seconds,gflops,speedup,efficiency
lineParallel1,8192,4,1,64.341242,17.088754,4.268709,1.067177
lineParallel1,8192,4,2,65.543589,16.775273,4.190402,1.047600
lineParallel1,8192,4,3,66.280888,16.588668,4.143789,1.035947
lineSimd,8192,4,1,103.549750,10.618197,2.652387,0.663097
lineSimd,8192,4,2,102.307401,10.747137,2.684596,0.671149
lineSimd,8192,4,3,104.675731,10.503979,2.623856,0.655964
lineCollapse,8192,4,1,161.273920,6.817665,1.703028,0.425757
lineCollapse,8192,4,2,160.603780,6.846113,1.710134,0.427534
lineCollapse,8192,4,3,159.585926,6.889778,1.721042,0.430260
lineParallel1,8192,8,1,52.054705,21.122233,5.276257,0.659532
lineParallel1,8192,8,2,54.246428,20.268830,5.063080,0.632885
lineParallel1,8192,8,3,52.291373,21.026635,5.252377,0.656547
lineSimd,8192,8,1,162.450439,6.768290,1.690694,0.211337
lineSimd,8192,8,2,159.426345,6.896675,1.722764,0.215345
lineSimd,8192,8,3,160.517828,6.849779,1.711050,0.213881
lineCollapse,8192,8,1,117.910817,9.324943,2.329337,0.291167
lineCollapse,8192,8,2,118.610681,9.269921,2.315593,0.289449
lineCollapse,8192,8,3,118.254866,9.297813,2.322560,0.290320
lineParallel1,8192,12,1,46.794432,23.496634,5.869374,0.489114
lineParallel1,8192,12,2,48.112842,22.852768,5.708539,0.475712
lineParallel1,8192,12,3,50.241687,21.884449,5.466656,0.455555
lineSimd,8192,12,1,2899.595463,0.379195,0.094721,0.007893
lineCollapse,8192,12,1,161.314321,6.815958,1.702602,0.141883
lineParallel1,8192,16,1,66.568650,16.516958,4.125876,0.257867
lineSimd,8192,16,1,3200.000000,0.343596,0.085829,0.005364
lineCollapse,8192,16,1,114.336728,9.616434,2.402150,0.150134
lineParallel1,8192,20,1,91.208966,12.054863,3.011261,0.150563
lineSimd,8192,20,1,3600.000000,0.305418,0.076293,0.003815
lineCollapse,8192,20,1,110.577686,9.943341,2.483810,0.124191
lineParallel1,8192,24,1,50.305968,21.856485,5.459671,0.227486
lineSimd,8192,24,1,4000.000000,0.274876,0.068664,0.002861
lineCollapse,8192,24,1,109.000000,10.087208,2.519762,0.104990
