variant,size,threads,avg_seconds,avg_gflops,avg_speedup,avg_efficiency
lineParallel1,8192,4,65.388573,16.817565,4.200967,1.050241
lineSimd,8192,4,103.510961,10.623104,2.653613,0.663403
lineCollapse,8192,4,160.487875,6.851185,1.711401,0.427850
lineParallel1,8192,8,52.864169,20.805899,5.197238,0.649655
lineSimd,8192,8,160.798204,6.838248,1.708169,0.213521
lineCollapse,8192,8,118.258788,9.297559,2.322497,0.290312
lineParallel1,8192,12,48.382987,22.744617,5.681523,0.473460
lineSimd,8192,12,2899.595463,0.379195,0.094721,0.007893
lineCollapse,8192,12,161.314321,6.815958,1.702602,0.141883
lineParallel1,8192,16,66.568650,16.516958,4.125876,0.257867
lineSimd,8192,16,3200.000000,0.343596,0.085829,0.005364
lineCollapse,8192,16,114.336728,9.616434,2.402150,0.150134
lineParallel1,8192,20,91.208966,12.054863,3.011261,0.150563
lineSimd,8192,20,3600.000000,0.305418,0.076293,0.003815
lineCollapse,8192,20,110.577686,9.943341,2.483810,0.124191
lineParallel1,8192,24,50.305968,21.856485,5.459671,0.227486
lineSimd,8192,24,4000.000000,0.274876,0.068664,0.002861
lineCollapse,8192,24,109.000000,10.087208,2.519762,0.104990
