variant,size,threads,avg_seconds,avg_gflops,avg_speedup,avg_efficiency
lineCollapse,1024,4,2.777311,0.773277,0.129594,0.032399
lineCollapse,1536,4,9.394664,0.771493,0.116838,0.029209
lineCollapse,2048,4,21.857956,0.785979,0.163623,0.040906
lineCollapse,2560,4,42.769116,0.784548,0.181587,0.045397
lineCollapse,3072,4,74.257151,0.780828,0.187029,0.046757
lineParallel1,1024,4,0.206232,10.429270,1.747858,0.436965
lineParallel1,1536,4,0.793666,9.136652,1.383694,0.345923
lineParallel1,2048,4,2.004105,8.572578,1.784613,0.446153
lineParallel1,2560,4,3.932791,8.534523,1.975355,0.493839
lineParallel1,3072,4,6.830134,8.491527,2.033945,0.508486
lineSimd,1024,4,2.896611,0.741635,0.124292,0.031073
lineSimd,1536,4,7.170175,1.010827,0.153084,0.038271
lineSimd,2048,4,13.175071,1.303984,0.271459,0.067865
lineSimd,2560,4,21.429700,1.565793,0.362410,0.090602
lineSimd,3072,4,32.094817,1.806808,0.432778,0.108195
parallel1,1024,4,0.653013,3.288767,4.471367,1.117842
parallel1,1536,4,5.315236,1.364889,1.686496,0.421624
parallel1,2048,4,13.618529,1.262512,1.854024,0.463506
parallel1,2560,4,29.542136,1.136297,2.011827,0.502957
parallel1,3072,4,53.304262,1.087884,2.252463,0.563116
parallel2,1024,4,3.275481,0.656107,0.892034,0.223008
parallel2,1536,4,9.958378,0.727904,0.899419,0.224855
parallel2,2048,4,23.926552,0.718329,1.054881,0.263720
parallel2,2560,4,48.556687,0.691067,1.223543,0.305886
parallel2,3072,4,115.253961,0.503091,1.041649,0.260412
