variant,size,threads,run,seconds,gflops,speedup,efficiency
parallel1,1024,4,1,0.647416,3.317006,4.509760,1.127440
parallel1,1024,4,2,0.659531,3.256075,4.426920,1.106730
parallel1,1024,4,3,0.652092,3.293220,4.477422,1.119355
parallel2,1024,4,1,3.402012,0.631239,0.858225,0.214556
parallel2,1024,4,2,3.220341,0.666850,0.906640,0.226660
parallel2,1024,4,3,3.204091,0.670232,0.911238,0.227809
lineParallel1,1024,4,1,0.217925,9.854231,1.651486,0.412872
lineParallel1,1024,4,2,0.200213,10.726006,1.797586,0.449396
lineParallel1,1024,4,3,0.200557,10.707572,1.794502,0.448626
lineSimd,1024,4,1,2.842508,0.755489,0.126614,0.031654
lineSimd,1024,4,2,2.876654,0.746521,0.125111,0.031278
lineSimd,1024,4,3,2.970670,0.722895,0.121151,0.030288
lineCollapse,1024,4,1,2.804097,0.765838,0.128348,0.032087
lineCollapse,1024,4,2,2.748246,0.781402,0.130956,0.032739
lineCollapse,1024,4,3,2.779591,0.772590,0.129479,0.032370
parallel1,1536,4,1,5.468941,1.325258,1.637527,0.409382
parallel1,1536,4,2,5.089524,1.424054,1.759602,0.439901
parallel1,1536,4,3,5.387243,1.345356,1.662360,0.415590
parallel2,1536,4,1,10.123552,0.715930,0.884624,0.221156
parallel2,1536,4,2,9.878141,0.733717,0.906601,0.226650
parallel2,1536,4,3,9.873440,0.734066,0.907033,0.226758
lineParallel1,1536,4,1,0.797912,9.083403,1.375630,0.343907
lineParallel1,1536,4,2,0.770001,9.412663,1.425494,0.356374
lineParallel1,1536,4,3,0.813086,8.913891,1.349958,0.337489
lineSimd,1536,4,1,7.179506,1.009506,0.152884,0.038221
lineSimd,1536,4,2,7.144221,1.014492,0.153639,0.038410
lineSimd,1536,4,3,7.186799,1.008482,0.152729,0.038182
lineCollapse,1536,4,1,9.439387,0.767821,0.116282,0.029070
lineCollapse,1536,4,2,9.333635,0.776520,0.117600,0.029400
lineCollapse,1536,4,3,9.410969,0.770139,0.116633,0.029158
parallel1,2048,4,1,14.160136,1.213256,1.781691,0.445423
parallel1,2048,4,2,13.274514,1.294200,1.900558,0.475139
parallel1,2048,4,3,13.420936,1.280080,1.879823,0.469956
parallel2,2048,4,1,23.570280,0.728878,1.070373,0.267593
parallel2,2048,4,2,24.627462,0.697590,1.024425,0.256106
parallel2,2048,4,3,23.581914,0.728519,1.069845,0.267461
lineParallel1,2048,4,1,1.993441,8.618199,1.794110,0.448528
lineParallel1,2048,4,2,2.018480,8.511291,1.771855,0.442964
lineParallel1,2048,4,3,2.000394,8.588244,1.787874,0.446968
lineSimd,2048,4,1,13.240525,1.297522,0.270114,0.067529
lineSimd,2048,4,2,13.143181,1.307132,0.272115,0.068029
lineSimd,2048,4,3,13.141508,1.307298,0.272149,0.068037
lineCollapse,2048,4,1,21.875911,0.785333,0.163488,0.040872
lineCollapse,2048,4,2,21.876996,0.785294,0.163480,0.040870
lineCollapse,2048,4,3,21.820961,0.787310,0.163900,0.040975
parallel1,2560,4,1,30.400829,1.103734,1.954175,0.488544
parallel1,2560,4,2,29.022583,1.156149,2.046976,0.511744
parallel1,2560,4,3,29.202995,1.149007,2.034330,0.508583
parallel2,2560,4,1,48.616291,0.690189,1.221988,0.305497
parallel2,2560,4,2,48.919507,0.685911,1.214414,0.303604
parallel2,2560,4,3,48.134263,0.697101,1.234226,0.308557
lineParallel1,2560,4,1,3.882809,8.641792,2.000183,0.500046
lineParallel1,2560,4,2,4.029686,8.326811,1.927279,0.481820
lineParallel1,2560,4,3,3.885879,8.634966,1.998603,0.499651
lineSimd,2560,4,1,21.408206,1.567363,0.362773,0.090693
lineSimd,2560,4,2,21.421709,1.566375,0.362545,0.090636
lineSimd,2560,4,3,21.459184,1.563640,0.361912,0.090478
lineCollapse,2560,4,1,42.797297,0.784032,0.181468,0.045367
lineCollapse,2560,4,2,42.749064,0.784916,0.181672,0.045418
lineCollapse,2560,4,3,42.760986,0.784697,0.181622,0.045406
parallel1,3072,4,1,52.631280,1.101665,2.280997,0.570249
parallel1,3072,4,2,54.040857,1.072930,2.221501,0.555375
parallel1,3072,4,3,53.240648,1.089056,2.254890,0.563723
parallel2,3072,4,1,114.527230,0.506273,1.048238,0.262060
parallel2,3072,4,2,115.683145,0.501214,1.037764,0.259441
parallel2,3072,4,3,115.551507,0.501785,1.038946,0.259736
lineParallel1,3072,4,1,6.673326,8.688630,2.081156,0.520289
lineParallel1,3072,4,2,6.939102,8.355845,2.001445,0.500361
lineParallel1,3072,4,3,6.877974,8.430107,2.019233,0.504808
lineSimd,3072,4,1,31.791348,1.823831,0.436856,0.109214
lineSimd,3072,4,2,32.596144,1.778801,0.426070,0.106518
lineSimd,3072,4,3,31.896959,1.817793,0.435409,0.108852
lineCollapse,3072,4,1,74.340253,0.779955,0.186820,0.046705
lineCollapse,3072,4,2,74.215255,0.781269,0.187134,0.046783
lineCollapse,3072,4,3,74.215946,0.781261,0.187133,0.046783
